#Time-GMT  Zero Pt  E-W Gradient  N-S Gradient    Focus    Astig@0+Focus  Astig@45+Focus  Coma+E-W Gradient  Coma+N-S Gradient  Spherical+Focus
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:29:30  19.1613    0.0036619     0.1832508   0.0378663    -0.0642639     -0.0339675        -0.0002004        0.020794839        0.028652223
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 11:59:06  19.2401    0.0000249     0.1435439   0.0002923    -0.0324219     -0.0463525         0.0022159        0.014681310        0.019699896
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:17:35  16.9769    0.0136706     0.1224132  -0.0269981    -0.3081725     -0.0889374        -0.0225191       -0.025296586        0.225129604
 09:29:30  19.1613    0.0036619     0.1832508   0.0378663    -0.0642639     -0.0339675        -0.0002004        0.020794839        0.028652223
 11:59:06  19.2401    0.0000249     0.1435439   0.0002923    -0.0324219     -0.0463525         0.0022159        0.014681310        0.019699896
